Location1,Definition1,Identifier1,Location2,Definition2,Identifier2,Location3,Definition3,Identifier3,Location4,Definition4,Identifier4,Location5,Definition5,Identifier5,Location6,Definition6,Identifier6,Location7,Definition7,Identifier7,Location8,Definition8,Identifier8,Location9,Definition9,Identifier9,Location10,Definition10,Identifier10,Location11,Definition11,Identifier11,Location12,Definition12,Identifier12,Location13,Definition13,Identifier13,Location14,Definition14,Identifier14,Location15,Definition15,Identifier15,Location16,Definition16,Identifier16,Location17,Definition17,Identifier17,Location18,Definition18,Identifier18,Location19,Definition19,Identifier19,Location20,Definition20,Identifier20
Rappahannock River,a river that flows across eastern Virginia into the Tidewater region,rappahannock.n.01,Red Sea,a long arm of the Indian Ocean between northeast Africa and Arabia; linked to the Mediterranean at the north end by the Suez Canal,red_sea.n.01,Republican,a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas,republican.n.03,reservoir,anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies,reservoir.n.04,raise,the act of raising something,goldNo,Oran,a port city in northwestern Algeria and the country's 2nd largest city,goldYes,Rhine,a major European river carrying more traffic than any other river in the world; flows into the North Sea,rhine.n.02,Rhodope Mountains,a mountain range in the Balkan peninsula in southeastern Europe; extends along the border between Greece and Bulgaria,rhodope_mountains.n.01,Rhone River,a major French river; flows into the Mediterranean near Marseilles,rhone.n.01,ridge,a long narrow natural elevation or striation,ridge.n.01,ridge,a long narrow range of hills,ridge.n.04,ridgeline,a long narrow range of hills,ridge.n.04,ridge,a long narrow natural elevation on the floor of the ocean,ridge.n.03,rift valley,a valley with steep sides; formed by a rift in the earth's crust,rift_valley.n.01,Rio de la Plata,an estuary between Argentina and Uruguay,rio_de_la_plata.n.01,La Plata,an estuary between Argentina and Uruguay,rio_de_la_plata.n.01,Rio Grande,a North American river; boundary between the United States and Mexico; flows into Gulf of Mexico,rio_grande.n.01,Rio Bravo,a North American river; boundary between the United States and Mexico; flows into Gulf of Mexico,rio_grande.n.01,split,an opening made forcibly as by pulling apart,rip.n.02,riverbank,the bank of a river,riverbank.n.01
riverside,the bank of a river,riverbank.n.01,spring,a light self-propelled movement upwards or forwards,goldNo,Djanet,a desert town in southeastern Algeria,goldYes,river bottom,a channel occupied (or formerly occupied) by a river,riverbed.n.01,stone,a lump or mass of hard consolidated mineral matter,rock.n.01,Rocky Mountains,the chief mountain range of western North America; extends from British Columbia to northern New Mexico; forms the continental divide,rockies.n.01,Ruhr,a tributary of the Rhine,ruhr.n.01,Mount Rushmore,a mountain in the Black Hills of South Dakota; the likenesses of Washington and Jefferson and Lincoln and Roosevelt are carved on it,rushmore.n.01,Saale,a river that rises in central Germany and flows north to join the Elbe River,saale.n.01,Sabine River,a river in eastern Texas that flows south into the Gulf of Mexico,sabine.n.01,Sacramento River,a river in northern California rising near Mount Shasta and flowing south to the San Francisco Bay,sacramento_river.n.01,saddleback,a pass or ridge that slopes gently between two peaks (is shaped like a saddle),saddleback.n.01,Saint Francis,a tributary of the Mississippi River that rises in Missouri and flows southeastward through Arkansas,saint_francis.n.02,Saint John,a river that rises in Maine and flows northeastward through New Brunswick to empty into the Bay of Fundy,saint_john.n.02,Saint John River,a river that rises in Maine and flows northeastward through New Brunswick to empty into the Bay of Fundy,saint_john.n.02,Saint Johns,a river in northeastern Florida that flows northward to Jacksonville and then eastward to empty into the Atlantic Ocean,saint_johns.n.01,Saint Lawrence River,a North American river; flows into the Gulf of Saint Lawrence and the North Atlantic,saint_lawrence.n.02,Salmon River,a tributary of the Snake River in Idaho,salmon.n.02,salt flat,a flat expanse of salt left by the evaporation of a body of salt water,salt_flat.n.01,Salton Sea,a saltwater lake in southeastern California,salton_sea.n.01
Sambre,a river in western Europe that rises in northern France and flows generally east into Belgium where it joins the Meuse at Namur,sambre.n.01,San Andreas Fault,a major geological fault in California; runs from San Diego to San Francisco; the source of serious earthquakes,san_andreas_fault.n.01,sandbank,a submerged bank of sand near a shore or in a river; can be exposed at low tide,sandbank.n.01,San Diego Bay,a bay of the Pacific in southern California,san_diego_bay.n.01,San Fernando Valley,a fertile valley in southern California to the north of Los Angeles; includes many residential communities,san_fernando_valley.n.01,San Francisco Bay,a bay of the Pacific in western California,san_francisco_bay.n.01,San Joaquin River,a river in central California that rises in the Sierra Nevada and flows northwest to form a large delta with the Sacramento River,san_joaquin_river.n.01,San Joaquin Valley,a vast valley in central California known for its rich farmland,san_joaquin_valley.n.01,Sao Francisco,a river in eastern Brazil flowing into the Atlantic Ocean,sao_francisco.n.01,Savannah,a river in South Carolina that flows southeast to the Atlantic,savannah.n.02,Savannah River,a river in South Carolina that flows southeast to the Atlantic,savannah.n.02,sawpit,a pit over which lumber is positioned to be sawed by two men with a long two-handed saw,sawpit.n.01,wheeling,propelling something on wheels,goldNo,Reggane,a town in central Algeria,goldYes,Sayan Mountains,a range of mountains in southern Siberia to the west of Lake Baikal; contain important mineral deposits,sayan_mountains.n.01,Scheldt,a river that rises in France and flows northeast across Belgium and empties into the North Sea,scheldt.n.01,Sea of Japan,an arm of the Pacific between China and Japan,sea_of_japan.n.01,coast,the shore of a sea or ocean,seashore.n.01,seaside,the shore of a sea or ocean regarded as a resort,seaside.n.01,seaboard,the shore of a sea or ocean regarded as a resort,seaside.n.01
deposit,matter that has been deposited by some natural process,sediment.n.01,Seine,a French river that flows through the heart of Paris and then northward into the English Channel,seine.n.01,Selkirk Mountains,a range of the Rocky Mountains in southeastern British Columbia,selkirk_mountains.n.01,Seneca Lake,a glacial lake in central New York; the largest of the Finger Lakes,seneca_lake.n.01,Guaira,a great waterfall on the border between Brazil and Paraguay,sete_quedas.n.01,Severn,a river in England and Wales flowing into the Bristol Channel; the longest river in Great Britain,severn.n.02,River Severn,a river in England and Wales flowing into the Bristol Channel; the longest river in Great Britain,severn.n.02,Severn River,a river in England and Wales flowing into the Bristol Channel; the longest river in Great Britain,severn.n.02,Severn,a river in Ontario that flows northeast into Hudson Bay,severn.n.01,Severn River,a river in Ontario that flows northeast into Hudson Bay,severn.n.01,rolling,propelling something on wheels,goldNo,Timgad,an ancient town founded by the Romans; noted for extensive and well-preserved ruins,goldYes,Seyhan,a Turkish river flowing south southwest into the Mediterranean,seyhan.n.01,Seyhan River,a Turkish river flowing south southwest into the Mediterranean,seyhan.n.01,Shari,an African river that flows northwest into Lake Chad,shari.n.01,Mount Shasta,a volcanic mountain peak in the Cascade Range in northern California (14162 feet high),shasta.n.02,Shenandoah River,a river of northern Virginia that empties into the Potomac at Harpers Ferry,shenandoah_river.n.01,Sherman,a peak in the Rocky Mountains in central Colorado (14036 feet high),sherman.n.03,Shenandoah Valley,a large valley between the Allegheny Mountains and the Blue Ridge Mountains in northern Virginia; site of numerous battles during the American Civil War,shenandoah_valley.n.01,Sherwood Forest,an ancient forest in central England; formerly a royal hunting ground; said to be the home of Robin Hood and his merry band,sherwood_forest.n.01
hit,the act of contacting one thing with another,goldNo,Timimoun,a town in central Algeria in the Atlas Mountains,goldYes,shoal,a stretch of shallow water,shoal.n.02,shoal,a sandbank in a stretch of water that is visible at low tide,shoal.n.01,shoreline,a boundary line between land and water,shoreline.n.01,Sierra Madre Occidental,a mountain range in northwestern Mexico that runs south from Arizona parallel to the Pacific coastline,sierra_madre_occidental.n.01,Sierra Nevada,a mountain range in eastern California; contains Mount Whitney,sierra_nevada.n.02,Sierra Nevada,a mountain range in southern Spain along the Mediterranean coast to the east of Granada,sierra_nevada.n.01,sylva,the forest trees growing in a country or region,silva.n.01,Sinai,a mountain peak in the southern Sinai Peninsula (7500 feet high); it is believed to be the peak on which Moses received the Ten Commandments,sinai.n.01,Mount Sinai,a mountain peak in the southern Sinai Peninsula (7500 feet high); it is believed to be the peak on which Moses received the Ten Commandments,sinai.n.01,Skaw,a cape on the northernmost tip of Jutland between the Skagerrak and the Kattegatt,skagens_odde.n.01,Skagerrak,a broad strait of the North Sea between Jutland and Norway,skagerrak.n.01,side,an elevated geological formation,slope.n.01,slough,any outer covering that can be shed or cast off (such as the cast-off skin of a snake),slough.n.04,slough,a stagnant swamp (especially as part of a bayou),slough.n.03,slough,a hollow filled with mud,slough.n.02,Snake River,a tributary of the Columbia River that rises in Wyoming and flows westward; discovered in 1805 by the Lewis and Clark Expedition,snake.n.03,solar system,the sun with the celestial bodies that revolve around it in its gravitational field,solar_system.n.01,Solent,a strait of the English Channel between the coast of Hampshire and the Isle of Wight,solent.n.01
South America,a continent in the western hemisphere connected to North America by the Isthmus of Panama,south_america.n.01,South China Sea,a tropical arm of the Pacific Ocean near southeastern Asia subject to frequent typhoons,south_china_sea.n.01,South Platte,a tributary of the Platte River,south_platte.n.01,South Platte River,a tributary of the Platte River,south_platte.n.01,split,a lengthwise crack in wood,split.n.04,spring,a natural flow of ground water,spring.n.03,best,the supreme effort one can make,goldNo,Angola,a republic in southwestern Africa on the Atlantic Ocean; achieved independence from Portugal in 1975 and was the scene of civil war until 1990,goldYes,fountain,a natural flow of ground water,spring.n.03,star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior,star.n.01,star,any celestial body visible (as a point of light) from the Earth at night,star.n.03,Strait of Georgia,the strait separating Vancouver Island from the Canadian mainland,strait_of_georgia.n.01,strand,a poetic term for a shore (as the area periodically covered and uncovered by the tides),strand.n.05,River Styx,(Greek mythology) a river in Hades across which Charon carried dead souls,styx.n.01,Sun River,a river in western Montana that flows south and east to join the Missouri River,sun_river.n.01,Suriname River,a river in Suriname that flows northward to the Atlantic,suriname_river.n.01,Susquehanna River,a river in the northeastern United States that rises in New York and flows southward through Pennsylvania and Maryland into Chesapeake Bay,susquehanna.n.01,swale,a low area (especially a marshy area between ridges),swale.n.01,plateau,a relatively flat highland,tableland.n.01,Taconic Mountains,a range of the Appalachian Mountains along the eastern border of New York with Connecticut Massachusetts and Vermont,taconic_mountains.n.01
Tallapoosa,river that rises in northwestern Georgia and flows southwest through central Alabama to join the Coosa River near Montgomery and form the Alabama River,tallapoosa.n.01,Tallapoosa River,river that rises in northwestern Georgia and flows southwest through central Alabama to join the Coosa River near Montgomery and form the Alabama River,tallapoosa.n.01,Tampa Bay,an arm of the Gulf of Mexico in west central Florida,tampa_bay.n.01,tarn,a mountain lake (especially one formed by glaciers),tarn.n.01,tartar,an incrustation that forms on the teeth and gums,tartar.n.04,Tennessee,a river formed by the confluence of two other rivers near Knoxville; it follows a U-shaped course to become a tributary of the Ohio River in western Kentucky,tennessee.n.02,terrace,a level shelf of land interrupting a declivity (with steep slopes above and below),terrace.n.02,Teton Range,a mountain range in northwest Wyoming; contains the Grand Teton,teton_range.n.01,Thames,the longest river in England; flows eastward through London to the North Sea,thames.n.01,River Thames,the longest river in England; flows eastward through London to the North Sea,thames.n.01,Thames River,the longest river in England; flows eastward through London to the North Sea,thames.n.01,Tiber,a river of central Italy; flows through Rome to the Tyrrhenian Sea,tiber.n.01,tidal basin,a basin that is full of water at high tide,tidal_basin.n.01,tidewater,low-lying coastal land drained by tidal streams,tidewater.n.01,tideway,a channel in which a tidal current runs,tideway.n.01,Tigris,an Asian river; a tributary of the Euphrates River,tigris.n.01,Tirich Mir,a mountain in the Hindu Kush in Pakistan (25230 feet high),tirich_mir.n.01,Tocantins,a river in eastern Brazil that flows generally north to the Para River,tocantins.n.01,flora,(botany) a living organism lacking the power of locomotion,goldNo,Namibia,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes
Tocantins River,a river in eastern Brazil that flows generally north to the Para River,tocantins.n.01,Tombigbee River,a river that rises in northeastern Mississippi and flows southward through western Alabama to join the Alabama River and form the Mobile River,tombigbee.n.01,Torres Strait,a strait between northeastern Australia and southern New Guinea that connects the Coral Sea with the Arafura Sea,torres_strait.n.01,trail,a track or mark left by something that has passed,trail.n.01,Trent,a river in central England that flows generally northeastward to join with the Ouse River and form the Humber,trent.n.01,River Trent,a river in central England that flows generally northeastward to join with the Ouse River and form the Humber,trent.n.01,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),goldNo,South West Africa,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes,Trent River,a river in central England that flows generally northeastward to join with the Ouse River and form the Humber,trent.n.01,Trinity River,a river in eastern Texas that is formed near Dallas and flows generally southeastward to Galveston Bay,trinity_river.n.01,Tugela Falls,a major waterfall in southern Africa; has more than one leap,tugela.n.01,Lower Tunguska,a river that arises to the north of Lake Baikal and flows north and west to the Yenisei River,tunguska.n.02,Tupungato,a mountain in the Andes on the border between Argentina and Chile (22310 feet high),tupungato.n.01,Twin Falls,a waterfall in the Snake River in southern Idaho,twin.n.03,River Tyne,a river in northern England that flows east to the North Sea,tyne.n.01,Tyrrhenian Sea,an arm of the Mediterranean between Italy and the islands of Corsica and Sardinia and Sicily,tyrrhenian_sea.n.01,uphill,the upward slope of a hill,uphill.n.01,Ural Mountains,a mountain range in western Russia extending from the Arctic to the Caspian Sea; forms part of the traditional boundary between Europe and Asia,urals.n.01,Uruguay River,a South American river that arises in southern Brazil and flows south to the Rio de la Plata; the northern section forms the boundary between Argentina and Brazil and the southern section forms the boundary between Argentina and Uruguay,uruguay_river.n.01,valley,a long depression in the surface of the land that usually contains a river,valley.n.01
vale,a long depression in the surface of the land that usually contains a river,valley.n.01,Vela,a constellation in the southern hemisphere between Carina and Pyxis,vela.n.01,Vetluga,a river in central Russia; flows generally southward into the Volga,vetluga.n.01,anchorage,the act of anchoring,goldNo,Windhoek,capital of Namibia in the center of the country,goldYes,Vetluga River,a river in central Russia; flows generally southward into the Volga,vetluga.n.01,Victoria,a waterfall in the Zambezi River on the border between Zimbabwe and Zambia; diminishes seasonally,victoria.n.03,Victoria Falls,a waterfall in the Zambezi River on the border between Zimbabwe and Zambia; diminishes seasonally,victoria.n.03,Vistula,a European river; flows into the Baltic Sea,vistula.n.01,Volga,a Russian river; the longest river in Europe; flows into the Caspian Sea,volga.n.01,Volga River,a Russian river; the longest river in Europe; flows into the Caspian Sea,volga.n.01,Volkhov,a river in northwestern Russia flowing generally north into Lake Ladoga,volkhov.n.01,Volkhov River,a river in northwestern Russia flowing generally north into Lake Ladoga,volkhov.n.01,Volta,a river in Ghana that flows south to the Bight of Benin,volta.n.02,Wabash,a tributary of the Ohio River that rises in western Ohio and flows southwestward across Indiana,wabash.n.01,Wabash River,a tributary of the Ohio River that rises in western Ohio and flows southwestward across Indiana,wabash.n.01,wadi,gully or streambed in northern Africa and the Middle East that remains dry except during rainy season,wadi.n.01,warren,a series of connected underground tunnels occupied by rabbits,warren.n.03,waterside,land bordering a body of water,waterside.n.01,Weisshorn,a mountain in the Alps in Switzerland (14804 feet high),weisshorn.n.01
Weser,a river in northwestern Germany that flows northward to the North Sea near Bremerhaven,weser.n.01,Weser River,a river in northwestern Germany that flows northward to the North Sea near Bremerhaven,weser.n.01,Wheeler Peak,a mountain peak in northeastern New Mexico in the Rocky Mountains,wheeler_peak.n.01,White River,a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri,white.n.09,White Nile,a headstream of the Nile; joins the Blue Nile at Khartoum to form the Nile,white_nile.n.01,White Sea,a large inlet of the Barents Sea in the northwestern part of European Russia,white_sea.n.01,whitewater,frothy water as in rapids or waterfalls,white_water.n.01,Mount Whitney,the highest peak in the Sierra Nevada range in California (14494 feet high),whitney.n.02,Willamette,a river in western Oregon that flows north into the Columbia River near Portland,willamette.n.01,Willamette River,a river in western Oregon that flows north into the Columbia River near Portland,willamette.n.01,Wilson,a peak in the San Juan mountains of Colorado (14246 feet high),wilson.n.11,Mount Wilson,a peak in the San Juan mountains of Colorado (14246 feet high),wilson.n.11,Winnipeg,a lake in southern Canada in Manitoba,winnipeg.n.02,Lake Winnipeg,a lake in southern Canada in Manitoba,winnipeg.n.02,Wisconsin,a tributary of the Mississippi River in Wisconsin,wisconsin.n.01,Wisconsin River,a tributary of the Mississippi River in Wisconsin,wisconsin.n.01,docking,the act of securing an arriving vessel with ropes,goldNo,Herat,a city in northwestern Afghanistan on the site of several ancient cities,goldYes,Yalu River,river in eastern Asia; rises in North Korea and flows southwest to Korea Bay (forming part of the border between North Korea and China),yalu.n.01,Yangtze River,the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai,chang_jiang.n.01
Yazoo River,a river that rises in west central Mississippi and flows southwest to empty into the Mississippi River above Vicksburg,yazoo.n.01,clinch,(boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily,goldNo,Jalalabad,a town in eastern Afghanistan (east of Kabul),goldYes,Yellowstone River,a tributary of the Missouri River that flows through the Yellowstone National Park,yellowstone.n.01,Yenisei River,a Russian river in Siberia; rises in mountains near the Mongolian border and flows generally northward into the Kara Sea,yenisei.n.01,Yerupaja,a mountain peak in the Andes in Peru (21709 feet high),yerupaja.n.01,Yosemite,a series of waterfalls in Yosemite National Park in California; is reduced to a trickle for part of each year,yosemite.n.01,Yosemite Falls,a series of waterfalls in Yosemite National Park in California; is reduced to a trickle for part of each year,yosemite.n.01,Yukon,a North American river that flows westward from the Yukon Territory through central Alaska to the Bering Sea,yukon.n.01,Yukon River,a North American river that flows westward from the Yukon Territory through central Alaska to the Bering Sea,yukon.n.01,Zambezi,an African river; flows into the Indian Ocean,zambezi.n.01,Pearl River,a river in southeast China that flows into the South China Sea,zhu_jiang.n.01,Zuider Zee,a former inlet of the North Sea in the northern coast of the Netherlands; sealed off from the sea in 1932 by a dam that created the IJsselmeer,zuider_zee.n.01,Halcyon,(Greek mythology) a woman who was turned into a kingfisher,alcyone.n.01,ogre,(folklore) a giant who likes to eat human beings,ogre.n.02,monster,an imaginary creature usually having various human and animal parts,monster.n.01,griffin,winged monster with the head of an eagle and the body of a lion,gryphon.n.01,Paris,(Greek mythology) the prince of Troy who abducted Helen from her husband Menelaus and provoked the Trojan War,paris.n.03,phoenix,a legendary Arabian bird said to periodically burn itself to death and emerge from the ashes as a new phoenix; according to most versions only one phoenix lived at a time and it renewed itself every 500 years,phoenix.n.03,god,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,deity.n.01
Angus,Celtic god of love and beauty; patron deity of young men and women,angus_og.n.01,Dagda,chief Celtic god of the Tuatha De Danann; father of Angus Og and Brigit,dagda.n.01,Ler,the sea personified; father of Manannan; corresponds to Welsh Llyr,lir.n.01,Mama,a name under which Ninkhursag was worshipped,mama.n.02,Nebo,Babylonian god of wisdom and agriculture and patron of scribes and schools,nabu.n.01,Kali,wife of Siva and malevolent form of Devi,kali.n.02,Kama,Hindu god of love and erotic desire; opposite of Mara,kama.n.01,Mara,Hindu god of death; opposite of Kama,mara.n.01,lam,a rapid escape (as by criminals),goldNo,Kabul,the capital and largest city of Afghanistan; located in eastern Afghanistan,goldYes,Annapurna,wife of Siva and a benevolent aspect of Devi: Hindu goddess of plenty,parvati.n.01,Sakti,the female or generative principle; wife of Siva and a benevolent form of Devi,shakti.n.01,Siva,the destroyer; one of the three major divinities in the later Hindu pantheon,siva.n.01,Soma,personification of a sacred intoxicating drink used in Vedic ritual,soma.n.02,God,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,god.n.01,cherub,an angel of the second order whose gift is knowledge; usually portrayed as a winged child,cherub.n.02,Puck,a mischievous sprite of English folklore,puck.n.01,bogy,an evil spirit,bogey.n.01,daimon,an evil supernatural being,devil.n.02,Satan,(Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell,satan.n.01
Old Nick,(Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell,satan.n.01,lamia,(folklore) a corpse that rises at night to drink the blood of the living,vampire.n.01,Daphne,(Greek mythology) a nymph who was transformed into a laurel tree to escape the amorous Apollo,daphne.n.02,Leander,(Greek mythology) a youth beloved of Hero who drowned in a storm in the Hellespont on one of his nightly visits to see her,leander.n.01,hit,a conspicuous success,goldNo,Kandahar,a city in southern Afghanistan; an important trading center,goldYes,Ares,(Greek mythology) Greek god of war; son of Zeus and Hera; identified with Roman Mars,ares.n.01,Mors,(Roman mythology) Roman god of death; counterpart of Thanatos,mors.n.01,Mars,(Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares,mars.n.02,Romulus,(Roman mythology) founder of Rome; suckled with his twin brother Remus by a wolf after their parents (Mars and Rhea Silvia) abandoned them; Romulus killed Remus in an argument over the building of Rome,romulus.n.01,Ceres,(Roman mythology) goddess of agriculture; counterpart of Greek Demeter,ceres.n.01,Amor,(Roman mythology) god of love; counterpart of Greek Eros,cupid.n.01,Vulcan,(Roman mythology) god of fire and metal working; counterpart of Greek Hephaestus,vulcan.n.01,Moirai,any of the three Greek goddesses of fate or destiny; identified with the Roman Parcae and similar to the Norse Norns,moirai.n.01,Victoria,(Roman mythology) goddess of victory; counterpart of Greek Nike,victoria.n.02,Pontos,(Greek mythology) ancient personification of the sea; father of Nereus,pontus.n.01,Proserpine,goddess of the underworld; counterpart of Greek Persephone,proserpina.n.01,Luna,(Roman mythology) the goddess of the Moon; counterpart of Greek Selene,luna.n.01,Orion,(Greek mythology) a giant Boeotian hunter who pursued the Pleiades and was eventually slain by Artemis; was then placed in the sky as a constellation,orion.n.01,Aurora,(Roman mythology) goddess of the dawn; counterpart of Greek Eos,aurora.n.03
Fortuna,(Roman mythology) the goddess of fortune and good luck; counterpart of Greek Tyche,fortuna.n.01,Jupiter,(Roman mythology) supreme god of Romans; counterpart of Greek Zeus,jupiter.n.02,Latona,wife or mistress of Zeus and mother of Apollo and Artemis in ancient mythology; called Latona in Roman mythology,leto.n.01,Hercules,(classical mythology) a hero noted for his strength; performed 12 immense labors to gain immortality,hercules.n.01,Wayland,(European mythology) a supernatural smith and king of the elves; identified with Norse Volund,wayland.n.01,bloomer,an embarrassing mistake,goldNo,Qandahar,a city in southern Afghanistan; an important trading center,goldYes,Ajax,a mythical Greek hero; a warrior who fought against Troy in the Iliad,ajax.n.01,Beatrice,the woman who guided Dante through Paradise in the Divine Comedy,beatrice.n.01,Bunyan,a legendary giant lumberjack of the north woods of the United States and Canada,bunyan.n.02,Medea,(Greek mythology) a princess of Colchis who aided Jason in taking the Golden Fleece from her father,medea.n.01,Gulliver,a fictional Englishman who travels to the imaginary land of Lilliput in a satirical novel by Jonathan Swift,gulliver.n.01,helper,a person who helps people or institutions (especially with financial help),benefactor.n.01,coon,an eccentric or undignified rustic,coon.n.01,coward,a person who shows fear or timidity,coward.n.01,male,a person who belongs to the sex that cannot have babies,male.n.02,peer,a person who is of equal standing with another in a group,peer.n.01,coon,(ethnic slur) extremely offensive name for a Black person,nigger.n.01,Oriental,a member of an Oriental race; the term is regarded as offensive by Asians (especially by Asian Americans),oriental.n.01,Udmurt,a member of the Finno-Ugric-speaking people living in eastern European Russia,udmurt.n.01
Tartar,a member of the Mongolian people of central Asia who invaded Russia in the 13th century,tatar.n.01,Alabama,a member of the Muskhogean people formerly living in what is now the state of Alabama,alabama.n.02,Algonquin,a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast,algonquian.n.01,Maya,a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy,mayan.n.01,Aztec,a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519,aztec.n.01,Arapahoe,a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming),arapaho.n.01,Biloxi,a member of the Siouan people of southeastern Mississippi,biloxi.n.01,Blackfoot,a member of a warlike group of Algonquians living in the northwestern plains,blackfoot.n.01,Brule,a member of a group of Siouan people who constituted a division of the Teton Sioux,brule.n.01,Cayuga,a member of an Iroquoian people formerly living around Cayuga Lake in New York State,cayuga.n.01,Cheyenne,a member of a North American Indian people living on the western plains (now living in Oklahoma and Montana),cheyenne.n.03,Chinook,a member of an important North American Indian people who controlled the mouth of the Columbia river; they were organized into settlements rather than tribes,chinook.n.02,Choctaw,a member of the Muskhogean people formerly living in Alabama,choctaw.n.01,Creek,any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma,creek.n.02,purchase,the acquisition of something for payment,goldNo,Albania,a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula,goldYes,Delaware,a member of an Algonquian people formerly living in New Jersey and New York and parts of Delaware and Pennsylvania,delaware.n.02,Erie,a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York,erie.n.01,Essene,a member of an ascetic Jewish sect around the time of Jesus,essene.n.01,Illinois,a member of the Algonquian people formerly of Illinois and regions to the west,illinois.n.02
Iowa,a member of the Siouan people formerly living in Iowa and Minnesota and Missouri,iowa.n.01,Iroquois,any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution,iroquois.n.01,Kansas,a member of the Siouan people of the Kansas river valley in Kansas,kansa.n.01,Massachusetts,a member of the Algonquian people who formerly lived around Massachusetts Bay,massachuset.n.02,Missouri,a member of the Siouan people formerly inhabiting the valley of the Missouri river in Missouri,missouri.n.03,Miami,a member of the extinct Algonquian people formerly living in northern Indiana and southern Michigan,miami.n.01,Mojave,a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California,mohave.n.01,Mohawk,a member of the Iroquoian people formerly living along the Mohawk River in New York State,mohawk.n.01,Muskogee,a member of the Muskhogean people formerly living in Georgia and eastern Alabama and constituting the core of the Creek Confederacy,muskogee.n.01,Nanticoke,a member of the Algonquian people formerly of Maryland and eastern Delaware,nanticoke.n.01,Navajo,a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah,navaho.n.01,Oglala,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota,oglala.n.01,Ojibway,a member of an Algonquian people who lived west of Lake Superior,ojibwa.n.01,Chippewa,a member of an Algonquian people who lived west of Lake Superior,ojibwa.n.01,Omaha,a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska,omaha.n.01,Osage,a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century,osage.n.01,assumption,the act of taking possession of or power over something,goldNo,Tirana,the capital and largest city of Albania in the center of the country,goldYes,Oneida,a member of the Iroquoian people formerly living east of Lake Ontario,oneida.n.01,Otoe,a member of the Siouan people inhabiting the valleys of the Platte and Missouri rivers in Nebraska,oto.n.01
